Fp1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,Pz,PO3,O1,Oz,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,Fp2,Fz,Cz
2.2517263031267825,2.3524673864941588,1.9467472788079034,2.223790370045093,2.257118226500771,2.2659781515661535,1.7926760046281138,2.154091371128979,2.173879559337909,1.8080904457446731,2.119431312736897,1.8088809532452506,1.849553240657015,2.1296904543764072,2.216373703064793,2.5191755686628783,2.5460960351039317,2.2118543803033637,2.2598885620584275,2.1876718076908253,1.8569607875235699,2.315055007109458,2.0772237538711735,2.1519136501225713,2.1073534238516456,2.7838835174026313,2.1522105539496454,2.108803574264751,2.188646162309145,2.096325715701863,2.2890892510136847,2.517101501878522
1.8562557332011507,2.597737288948796,1.6716665815581226,2.377040634775954,2.4274065636224877,2.184978847648243,1.9886491545047755,2.2110261238868874,2.5588511995931524,1.6772151631979195,2.070159892316332,2.2375490409872807,2.166877780356073,1.815040212860461,2.3640770376544684,2.2611025010119357,2.274595582902636,1.89213059454771,2.3774112675950367,2.0373769644104116,1.7913182714490326,2.4070806436934564,2.3761737722452634,2.2418239700837614,2.544263077084533,2.061046073391729,1.8401648819121625,2.2258282306493506,2.076033603979862,2.3378489939353457,2.724205536242247,2.1094727086184557
2.6840875030044162,2.7502606638225253,1.6303199745331272,2.5319473027444577,2.4803390750179006,2.408567734620313,1.8643963486593413,2.215528304074649,1.9493607904410932,2.0333695659833344,2.165765477145074,2.0853556122052703,2.0481640982899263,2.410669109886732,2.4427637984810295,2.694271973668193,2.7202396293989133,2.2090420762378504,2.215784216855781,2.1113045150686522,1.7470380148304128,2.231983450588444,2.0909890336978205,1.6198956522841228,2.243419035152715,2.2611677493638442,2.221190821089882,1.8651172338030766,2.2173701014322846,2.3162119950263715,2.4276794721114348,2.3186218469208906
2.540318786198389,2.5808641445684843,2.0908343901208704,2.0536503848280807,2.276150381425006,1.7210770042836578,2.2598384501924675,2.053264795810823,2.753674999137599,2.100702580769472,2.2136156960598505,2.3287419130193174,2.1182247882197,2.2307358136360116,2.4870983954972865,2.5718137712870917,2.6041708889684765,2.4074904144667575,2.1709993018584397,2.005898434146826,1.9482245686439907,2.3558534575239065,2.1962485562015397,1.5781854790986558,1.927911064136228,2.288381674221486,1.9725530950607617,1.9970521994548425,1.983998265526888,2.008490899172277,2.0766395411300342,2.5726316286300333
2.585350564779633,2.4087660479987343,1.6317658866678075,2.0234868274470155,2.2301514997032514,2.24441851652734,2.158255534584836,1.8957525252809146,2.3841094103596094,2.3488347665903326,2.0782106504923936,2.025381945592194,1.9952110080914944,2.1104844830030336,2.3188679440374216,2.118117026654129,2.309539316771062,2.4150227806268836,2.356889293332348,1.8381849515794653,2.022851464079505,2.1321362617086677,2.022373944739953,1.570932560599061,2.239463979712239,2.2676995904686668,2.4795231289682227,2.194104485638709,2.1267109655377996,2.198240541007416,2.2799098451670985,2.187467988992989
2.3610996270043643,2.2336429665235396,1.641437920032062,2.335095139700543,2.417667765623865,2.23812764164717,2.1606818374923047,1.9996156884803507,2.206512278457864,2.1371635040043633,2.0392875390293583,2.164192076314147,1.9249693841045552,2.0641917603890807,2.4189708791157916,2.400798261592553,2.3404844355173555,2.141805266451448,2.5012483408537776,1.9744739550630444,2.2359863946444483,2.177501188881072,2.291836815430511,1.9067599573887215,2.4408078060580016,2.146267291995043,1.8206288057407387,2.284043275843339,1.8138234725034745,1.7870120442482091,2.2568474291440066,2.4206816756380616
2.3179104400822457,2.2762787439310124,1.6226907590526791,2.3412870879813976,2.555277994935626,2.1291551014976062,2.155962756177947,2.146742764970619,2.0127701463074046,2.0504835380799644,1.8230150249386687,2.2969309378490492,1.920991197761748,2.185164812844922,2.3325184977114786,2.4009886444121795,2.423159027954278,2.504466435506731,2.282895507776001,1.5545377550416613,1.9630464625598412,2.3630810676063696,2.31631288413828,1.6133719555553447,2.122104615419063,2.119099166931276,1.9542514153463337,2.1875764016773074,2.238365291076578,2.222526961617706,2.5061636037097412,2.089785161400422
2.6649697012707536,2.4016179947082343,1.9142047353045935,2.307026275790941,2.309999447519949,2.1154080317503405,1.8853330118359028,2.040545687541454,2.1120937800077524,2.18137166712816,1.9425780785811053,2.042264986158278,1.9896947007240813,2.0822071461115086,2.47839563148665,2.256559224138123,2.214704047004355,1.9880216509800324,1.8494109050267868,1.9548959703860056,1.9687114391670855,2.0431842602270502,2.204500157801717,1.819758558611103,2.135153901998525,2.283321123163226,1.9960684700341318,1.9312626760239189,2.015844058733737,2.0023457312873187,1.9912843192662792,2.4268511972763047
2.0044389717210893,2.162584040627336,2.0399545178983893,2.072653618573154,2.456953592558816,2.1417718321032977,1.732936279772445,2.562167484261361,2.28863214745096,2.0122126472707333,1.868696646707957,2.2275877370198875,2.363445297591679,2.378413795849105,2.156496009018317,1.88935746635627,1.9052786668901516,2.107505120516712,2.129421365953806,2.047010416096423,1.954109674991666,2.138141903394502,2.3864453516226947,2.0582540686658044,2.53252081823953,2.264665226413616,1.8640457961136365,2.282137605884432,2.2821563943890233,2.3621189098899213,2.3515734191186923,2.2514888799656583
2.4237292811877995,2.2171943939092094,1.316609281076918,2.319474205274096,1.9071547848641386,1.9435106407283065,1.816750174834091,2.1881123259488824,2.134240306387858,1.9259168627004364,1.8282883493003215,2.0552802497742544,2.1619195164077416,2.113947998388232,2.0772475814881584,2.1841394851457894,2.206787579527624,1.8946181887576536,2.045883517294176,1.6924588186884886,2.0615413963455422,2.047440739557701,2.211819118066722,1.74808653489141,2.1928026151966,2.6033627660042926,1.8050396544330354,1.486373821722419,2.2065768154052035,2.187170543443046,2.560044444287454,2.1449939362396155
1.8841457777540065,2.158519409689257,1.8692495394093795,2.0763718829931483,2.379241676879005,2.280747211074131,2.1502952799016963,2.2774123440522698,1.9706238800585103,2.208858939534493,2.2575275012641054,2.0924552380503827,2.0632619323521553,1.7238466285799532,2.05227991016591,1.9960154649075523,2.0159888404039226,2.1696048333618134,2.261119567315393,1.6903082471160222,2.0538503234317522,2.2279223125210965,2.097035857124415,1.762906037341443,2.1376094114149677,2.480966010628862,1.7953388386326594,2.0692850525107938,2.022425036670953,1.9584988861479207,2.143304977286918,2.282831074424327
2.1578880336237494,2.472200816341318,1.8805388311603042,2.3123099372589193,2.615464155405737,2.1729781960415555,2.114996847335751,2.0325950958420718,2.2826129243476694,2.0845260339632694,1.901207502303778,2.186598971987873,2.1474969090310068,2.2582430817336188,2.4996491784932817,2.698061034555183,2.701447427724032,2.5527771774613894,2.595767686969833,2.395096997899518,2.4962138620256353,2.124558994637549,2.158633403851087,2.028830757270378,2.443425885760889,2.7410631715432303,2.416354031702855,2.296487417520196,2.628105913277899,2.5783485069632883,2.8333331260432844,2.4037335037127474
2.010194307113634,2.492143888554872,1.849625561186648,2.1720387087481408,2.0712412062116825,2.2380480462372123,2.1432957656040523,2.1869626367977166,2.7585903846024005,1.8350906144242076,1.8087137161301852,2.2530552531910284,2.4456925870339727,2.2327968810442282,2.44479951864112,2.3446452739548542,2.384987159905132,2.470293658114774,2.120927842685985,1.9181021356965964,2.0683575722638547,2.1051071270835195,2.3194482811047727,1.9472972810929372,2.2110939060937724,2.1186209662729114,2.270853507301443,1.9319434046274002,2.3182318944823512,2.1801814731293088,2.7983528337963253,2.0638961384687557
